query_id,query_text,mode,rank,doc_id,url,title,source,relevance
q1,african fintech funding,bm25,1,4,https://weetracker.com,"WeeTracker - Business, Startups & Economy News From Africa",WeeTracker,
q1,african fintech funding,bm25,2,1,https://techcabal.com,Homepage | TechCabal,TechCabal,
q1,african fintech funding,bm25,3,3,https://www.benjamindada.com,Condia - News & insights about tech and innovation in Africa,Benjamindada.com,
q1,african fintech funding,bm25,4,2,https://disruptafrica.com,- Disrupt Africa,Disrupt Africa,
q1,african fintech funding,probabilistic,1,3,https://www.benjamindada.com,Condia - News & insights about tech and innovation in Africa,Benjamindada.com,
q1,african fintech funding,probabilistic,2,1,https://techcabal.com,Homepage | TechCabal,TechCabal,
q1,african fintech funding,probabilistic,3,2,https://disruptafrica.com,- Disrupt Africa,Disrupt Africa,
q1,african fintech funding,probabilistic,4,4,https://weetracker.com,"WeeTracker - Business, Startups & Economy News From Africa",WeeTracker,
q2,nigeria startup accelerator,bm25,1,4,https://weetracker.com,"WeeTracker - Business, Startups & Economy News From Africa",WeeTracker,
q2,nigeria startup accelerator,bm25,2,2,https://disruptafrica.com,- Disrupt Africa,Disrupt Africa,
q2,nigeria startup accelerator,bm25,3,1,https://techcabal.com,Homepage | TechCabal,TechCabal,
q2,nigeria startup accelerator,bm25,4,3,https://www.benjamindada.com,Condia - News & insights about tech and innovation in Africa,Benjamindada.com,
q2,nigeria startup accelerator,probabilistic,1,2,https://disruptafrica.com,- Disrupt Africa,Disrupt Africa,
q2,nigeria startup accelerator,probabilistic,2,4,https://weetracker.com,"WeeTracker - Business, Startups & Economy News From Africa",WeeTracker,
q2,nigeria startup accelerator,probabilistic,3,3,https://www.benjamindada.com,Condia - News & insights about tech and innovation in Africa,Benjamindada.com,
q2,nigeria startup accelerator,probabilistic,4,1,https://techcabal.com,Homepage | TechCabal,TechCabal,
q3,kenya mobile payments,bm25,1,1,https://techcabal.com,Homepage | TechCabal,TechCabal,
q3,kenya mobile payments,bm25,2,4,https://weetracker.com,"WeeTracker - Business, Startups & Economy News From Africa",WeeTracker,
q3,kenya mobile payments,bm25,3,3,https://www.benjamindada.com,Condia - News & insights about tech and innovation in Africa,Benjamindada.com,
q3,kenya mobile payments,bm25,4,2,https://disruptafrica.com,- Disrupt Africa,Disrupt Africa,
q3,kenya mobile payments,boolean,1,1,https://techcabal.com,Homepage | TechCabal,TechCabal,
q3,kenya mobile payments,probabilistic,1,1,https://techcabal.com,Homepage | TechCabal,TechCabal,
q3,kenya mobile payments,probabilistic,2,2,https://disruptafrica.com,- Disrupt Africa,Disrupt Africa,
q3,kenya mobile payments,probabilistic,3,3,https://www.benjamindada.com,Condia - News & insights about tech and innovation in Africa,Benjamindada.com,
q3,kenya mobile payments,probabilistic,4,4,https://weetracker.com,"WeeTracker - Business, Startups & Economy News From Africa",WeeTracker,
q4,south africa ai startup,bm25,1,4,https://weetracker.com,"WeeTracker - Business, Startups & Economy News From Africa",WeeTracker,
q4,south africa ai startup,bm25,2,1,https://techcabal.com,Homepage | TechCabal,TechCabal,
q4,south africa ai startup,bm25,3,2,https://disruptafrica.com,- Disrupt Africa,Disrupt Africa,
q4,south africa ai startup,bm25,4,3,https://www.benjamindada.com,Condia - News & insights about tech and innovation in Africa,Benjamindada.com,
q4,south africa ai startup,probabilistic,1,2,https://disruptafrica.com,- Disrupt Africa,Disrupt Africa,
q4,south africa ai startup,probabilistic,2,4,https://weetracker.com,"WeeTracker - Business, Startups & Economy News From Africa",WeeTracker,
q4,south africa ai startup,probabilistic,3,3,https://www.benjamindada.com,Condia - News & insights about tech and innovation in Africa,Benjamindada.com,
q4,south africa ai startup,probabilistic,4,1,https://techcabal.com,Homepage | TechCabal,TechCabal,
q5,ghana venture capital,bm25,1,3,https://www.benjamindada.com,Condia - News & insights about tech and innovation in Africa,Benjamindada.com,
q5,ghana venture capital,bm25,2,4,https://weetracker.com,"WeeTracker - Business, Startups & Economy News From Africa",WeeTracker,
q5,ghana venture capital,bm25,3,2,https://disruptafrica.com,- Disrupt Africa,Disrupt Africa,
q5,ghana venture capital,bm25,4,1,https://techcabal.com,Homepage | TechCabal,TechCabal,
q5,ghana venture capital,boolean,1,4,https://weetracker.com,"WeeTracker - Business, Startups & Economy News From Africa",WeeTracker,
q5,ghana venture capital,probabilistic,1,2,https://disruptafrica.com,- Disrupt Africa,Disrupt Africa,
q5,ghana venture capital,probabilistic,2,3,https://www.benjamindada.com,Condia - News & insights about tech and innovation in Africa,Benjamindada.com,
q5,ghana venture capital,probabilistic,3,4,https://weetracker.com,"WeeTracker - Business, Startups & Economy News From Africa",WeeTracker,
q5,ghana venture capital,probabilistic,4,1,https://techcabal.com,Homepage | TechCabal,TechCabal,
